date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:54:39	66161/66161	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2010:24:38%20GMT	https://www.cjsnyc.com/	C:/Users/dell/Desktop/barath/con4/www.cjsnyc.com/index.html	(from )
15:54:40	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2027%20Oct%202022%2010:24:38%20GMT	https://www.cjsnyc.com/robots.txt		(from )
15:54:41	258490/258490	---M-Z	200	added ('OK')	text/css	etag:%2244885143db559f028de21959daef5a2a%22	https://assets.website-files.com/5d19630a2daf2f6e1236bfd5/css/cjs-builders.ec65c3877.css	C:/Users/dell/Desktop/barath/con4/assets.website-files.com/5d19630a2daf2f6e1236bfd5/css/cjs-builders.ec65c3877.css	(from https://www.cjsnyc.com/)
15:54:42	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/dell/Desktop/barath/con4/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.cjsnyc.com/)
15:54:43	1710/1710	---M--	200	added ('OK')	image/jpeg	etag:%229a2f4d27a209e137bcc6646a52e6ab27%22	https://assets.website-files.com/5d19630a2daf2f6e1236bfd5/5d1963828eb894eb432f980c_favicon.jpg	C:/Users/dell/Desktop/barath/con4/assets.website-files.com/5d19630a2daf2f6e1236bfd5/5d1963828eb894eb432f980c_favicon.jpg	(from https://www.cjsnyc.com/)
15:54:43	10902/10902	---M--	200	added ('OK')	image/jpeg	etag:%2257a2c77287793ba4ed03d726f09cccb3%22	https://assets.website-files.com/5d19630a2daf2f6e1236bfd5/5d1963c2f3be3c21e78e70a6_webclip.jpg	C:/Users/dell/Desktop/barath/con4/assets.website-files.com/5d19630a2daf2f6e1236bfd5/5d1963c2f3be3c21e78e70a6_webclip.jpg	(from https://www.cjsnyc.com/)
15:54:44	9054/9054	---M--	200	added ('OK')	image/png	etag:%227418b8f89b788e1cf4374d9412b44482%22	https://assets.website-files.com/5d19630a2daf2f6e1236bfd5/5d45ac870ae4a116abdf8605_icon-b-s.png	C:/Users/dell/Desktop/barath/con4/assets.website-files.com/5d19630a2daf2f6e1236bfd5/5d45ac870ae4a116abdf8605_icon-b-s.png	(from https://www.cjsnyc.com/)
15:54:45	27840/27840	---M--	200	added ('OK')	image/png	etag:%22ed1c843df43f28a3f1a95fd9c6db3529%22	https://assets.website-files.com/5d19630a2daf2f6e1236bfd5/5dc5aae8117da0076a62de92_text-w-thick.png	C:/Users/dell/Desktop/barath/con4/assets.website-files.com/5d19630a2daf2f6e1236bfd5/5dc5aae8117da0076a62de92_text-w-thick.png	(from https://www.cjsnyc.com/)
15:54:47	47377/47377	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2010:24:45%20GMT	https://www.cjsnyc.com/about	C:/Users/dell/Desktop/barath/con4/www.cjsnyc.com/about.html	(from https://www.cjsnyc.com/)
15:54:48	40687/40687	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2010:24:47%20GMT	https://www.cjsnyc.com/service-category/pre-construction	C:/Users/dell/Desktop/barath/con4/www.cjsnyc.com/service-category/pre-construction.html	(from https://www.cjsnyc.com/)
